dr doutor
dra doutora
drs doutores
dras doutoras
etc etc.
prof professor
profa professora
profs professores
profas professoras
séc século
av avenida
sr senhor
srs senhores
sra senhora
sras senhoras
arq arquitecto
pe padre
exmo excelentíssimo
exmos excelentíssimos
exma excelentíssima
exmas excelentíssimas
ex exemplo
eng engenheiro
lg largo
lgo largo
cel coronel
sen senador
trv travessa
cia companhia
lda limitada
srt senhorita
srta senhorita
srtas senhoritas
exa example
jr júnior
est estrada
estr estrada
tv travessa
et et.
al al.
vol volume
no número
pr praça
oliv oliveira
mr mister
mrs misters
min mínimo
rep repartição
